,products,product,title,subTitle,currencyAmount,currencyType,displayPrice,isDomestic,id,price,productSellerCode,approvalStatus,saleStatus,stockItems,bundle,currencyAmount,displayPrice,optionPrice,attributes,id,quantity,version
68,,,Pratik Pizza Kesici,,24.40,1,24.40,false,390318262,24.40,70651439,1,2,"
                        ",,24.40,24.40,,,390318262,,
69,,,Neon Sarımsak - Fındık - Ceviz Öğütücüsü,,20.00,1,20.00,false,390317854,20.00,70651444,1,2,"
                        ",,20.00,20.00,,,390317854,,
70,,,Neon Mini 3 Lü Sosluk,,19.80,1,19.80,false,390317851,19.80,70651443,1,2,"
                        ",,19.80,19.80,,,390317851,,
71,,,H8 1080P Gece Görüşlü Çift Kameralı Araç içi Kamera,,353.00,1,353.00,false,390316172,353.00,70651425,1,2,"
                        ",,353.00,353.00,,,390316172,,
72,,,H7B Dual Lens Kamera HD 1080P Araç Kamerası,,199.00,1,199.00,false,390316127,199.00,70651424,2,3,"
                        ",,199.00,199.00,,,390316127,,
73,,,FULL HD Gece Görüşlü Araç Kamerası,,185.00,1,185.00,false,390315577,185.00,70651422,1,2,"
                        ",,185.00,185.00,,,390315577,,
74,,,Dearling PLUS RF-135 Proferyonel Kuaför Tipi Traş Makinesi,,206.00,1,206.00,false,390314724,206.00,70651421,1,2,"
                        ",,206.00,206.00,,,390314724,,
75,,,Alev Led Ampul Bluetooth Hoparlör,,74.50,1,74.50,false,390313863,74.50,70651428,1,2,"
                        ",,74.50,74.50,,,390313863,,
76,,,Everton RT-806BT USB-SD-FM-Bluetooth Nostaljik Radyo,,115.50,1,115.50,false,390280485,115.50,900001,1,2,"
                        ",,115.50,115.50,,,390280485,,
77,,,Derma Roller Titanyum İğneli 3 Başlıklı Set,,62.50,1,62.50,false,390277115,62.50,900099,1,2,"
                        ",,62.50,62.50,,,390277115,,
78,,,Everton RT-41U USB-SD-FM-SW3 Radyo,,107.50,1,107.50,false,390271604,107.50,900098,1,2,"
                        ",,107.50,107.50,,,390271604,,
79,,,Lesima LS-332 Professional Saç Sakal Traş Makinesi Uzman İşi,,189.50,1,189.50,false,390270717,189.50,900097,1,2,"
                        ",,189.50,189.50,,,390270717,,
80,,,İthal Kutulu Satranç Takımı,,72.50,1,72.50,false,390269839,72.50,900096,1,2,"
                        ",,72.50,72.50,,,390269839,,
81,,,CAMAC KEDİ KÖPEK KOVUCU CMC 405,,66.50,1,66.50,false,390180273,66.50,900095,1,2,"
                        ",,66.50,66.50,,,390180273,,
82,,,İnter Mac3 TC-3400 Moser Style Pro,,160.50,1,160.50,false,390178891,160.50,900094,1,2,"
                        ",,160.50,160.50,,,390178891,,
83,,,Everton RT-303 Usb Ve Micro Kart Girişli Manuel El Radyosu,,65.50,1,65.50,false,390177386,65.50,900093,1,2,"
                        ",,65.50,65.50,,,390177386,,
84,,,Rozia Twist Secret Saç Örgü Makinesi,,73.50,1,73.50,false,390176207,73.50,900092,1,2,"
                        ",,73.50,73.50,,,390176207,,
85,,,MEIER M-161BT BLUETOOTH FM/AM/SW 3BAND USB/TF/ RADYO,,101.50,1,101.50,false,390174755,101.50,900091,1,2,"
                        ",,101.50,101.50,,,390174755,,
86,,,Meier M-113BT Nostaljik Retro Ahşap Bluetooth Fm Radyo,,143.50,1,143.50,false,390173959,143.50,900090,1,2,"
                        ",,143.50,143.50,,,390173959,,
87,,,Meier M-115BT USB/SD Bluetooth Şarjlı Nostaljik Radyo,,140.50,1,140.50,false,390169475,140.50,900088,1,2,"
                        ",,140.50,140.50,,,390169475,,
88,,,Hassas Kuyumcu Terazisi MH-444,,140.50,1,140.50,false,390167910,140.50,900087,1,2,"
                        ",,140.50,140.50,,,390167910,,
89,,,Everton RT-857 USB-SD-FM-SW Radyo Müzik Kutusu,,75.50,1,75.50,false,390166321,75.50,900086,1,2,"
                        ",,75.50,75.50,,,390166321,,
90,,,Harici Solar Güneş Panelli Şarjlı Işıldak Lamba LED,,64.50,1,64.50,false,390149081,64.50,900083,1,2,"
                        ",,64.50,64.50,,,390149081,,
91,,,Everton RT-604 USB-SD-FM El Fenerli Radyo,,105.50,1,105.50,false,390147389,105.50,900082,1,2,"
                        ",,105.50,105.50,,,390147389,,
92,,,Everton RT-801BT USB-SD-FM-Bluetooth Destekli Nostaljik Radyo,,94.50,1,94.50,false,390144183,94.50,900084,1,2,"
                        ",,94.50,94.50,,,390144183,,
93,,,NEXT 2000-HD İNTERNET MACHINA VOD  MİNİ HD UYDU ALI,,320.00,1,320.00,false,390027616,320.00,900081,1,2,"
                        ",,320.00,320.00,,,390027616,,
94,,,SHOWMAX LOCA IP T V MİNİ HD UYDU ALICISI İnternet Tv İZLE,,286.00,1,286.00,false,390026310,286.00,900080,1,2,"
                        ",,286.00,286.00,,,390026310,,
95,,,Next Minix HD TANGO RED Full HD Uydu Alıcısı TKGS,,247.00,1,247.00,false,390025464,247.00,900079,1,2,"
                        ",,247.00,247.00,,,390025464,,
96,,,Hiremco GT Turbo IP+TV Plus HD Uydu Alıcı DAHİLİ WİFİ 2020 MODEL,,348.00,1,348.00,false,390025148,348.00,900078,1,2,"
                        ",,348.00,348.00,,,390025148,,
97,,,Dearling RF-7006 Çok Amaçlı Tırnak Törpüsü Topuk Taşı Epilatör,,128.00,1,128.00,false,389229093,128.00,900077,1,2,"
                        ",,128.00,128.00,,,389229093,,
98,,,Tabaka ve Gazlı Çakmak Seti Bozkurt Gri,,77.50,1,77.50,false,389227488,77.50,900076,4,2,"
                        ",,77.50,77.50,,,389227488,,
99,,,Tabaka ve Gazlı Çakmak Seti Atatürk,,77.50,1,77.50,false,389226804,77.50,900074,4,2,"
                        ",,77.50,77.50,,,389226804,,
